gene,disease,pubmed_id,year
CYP1A1,1-hydroxypyrene urinary,15355699,2004
GSTP1,1-hydroxypyrene urinary,17498780,2007
AHR,1-hydroxypyrene urinary,17498780,2007
GSTT1,1-hydroxypyrene urinary,17498780,2007
UGT1A1,1-hydroxypyrene urinary,17498780,2007
CYP1B1,1-hyrdoxypyrene glucuronide concentrations,16864595,2006
CYP11B1,11beta-hydroxylase activity,15507509,2004
VEGFA,18f-fluorodeoxyglucose uptake,15609122,2004
CYP1A2,2-amino-1-methyl-6-phenylimidazo[45-b]pyridine,15110095,2004
SFN,5 cpg island hypermethylation,10969776,2000
DPYD,5-fluorouracil toxicity,17445431,2007
DPYD,5-fluorouracil- related toxicity,12360106,2002
DPYD,5-flurouracil toxicity,15017333,2004
HSPA1L,abacavir hypersensitivity,15024131,2004
NPR3,abdominal adiposity and hypertension,10489108,1999
HMOX1,abdominal aortic aneurysm,12182912,2002
MTHFR,abdominal aortic aneurysm,12590185,2003
MMP9,abdominal aortic aneurysm,14681642,2003
MMP2,abdominal aortic aneurysm,12657623,2003
MTHFR,abdominal aortic aneurysm homocysteine hypertension,16521945,2005
PON1,abdominal aortic aneurysm homocysteine hypertension,16521945,2005
PLIN,abdominal fat fatty acid glucose tolerance insulin lipids prostaglandin,16585946,2006
NF1,aberrant splicing,11258625,1999
TAS2R38,ability to taste phenylthiocarbamide,12595690,2003
PTPRC,abnormal splicing,11862398,2002
WT1,abnormal urogenital development,1655284,1991
MTHFR,abruptio placentae,11451544,2001
MTHFD1,abruptio placentae,15633187,2005
CYP3A5,abt-773 plasma levels,15179406,2004
ACE,ace activity,15651670,2004
ACE,acei-related cough,11699055,2001
CYP2C9,acenocoumarol pharmacokinetics,12844136,2003
CYP2C9,acenocoumarol response,15116053,2004
CYP2C9,acenocoumarol response,15116052,2004
TNC,achilles tendon injuries,15983124,2005
COL5A1,achilles tendon pathology,16430677,2006
LDLR,achilles tendon xanthomas,1673111,1991
COL1A1,achondroplasia,2991928,1985
CNGB3,achromatopsia,15657609,2004
LIPA,acid lipase deficiency and cholesterol ester storage disease,7773732,1995
CYP17A1,acne,16707883,2006
F12,activated factor xii levels,10870808,2000
IFNG,acute and chronic kidney transplant outcome,11292301,2001
IL10,acute and chronic kidney transplant outcome,11292301,2001
IL10,acute and chronic kidney transplant outcome,11292301,2001
HLA-B,acute anterior uveitis,9744378,1998
CX3CR1,acute coronary syndrome,15886814,2005
NOS3,acute coronary syndrome,14966047,2004
F3,acute coronary syndrome,16239598,2005
NOS3,acute coronary syndrome,12684755,2003
FGB,acute coronary syndrome,16080811,2005
TLR4,acute coronary syndrome,14563652,2003
MMP3,acute coronary syndrome,17027562,2006
NOS3,acute coronary syndrome,14966047,2004
CD40,acute coronary syndrome diabetes type 2 hypertension,17553307,2007
IL4,acute graft-versus-host disease,12420205,2002
MTHFR,acute leukemia,10536004,1999
MLH1,acute myeloid leukemia,12529664,2003
FAS,acute myeloid leukemia,12907599,2003
CD14,acute myocardial infarction,12860878,2003
THBD,acute myocardial infarction,14523329,2003
ESR1,acute myocardial infarction,11798902,2001
NAGS,acute neonatal disease and hyperammonemia,12594532,2003
IL1RN,acute pancreatitis,10766448,2000
TNF,acute renal allograft rejection,14693849,2004
VEGFA,acute renal allograft rejection,11752046,2002
IL8,acute respiratory distress syndrome il* production,17498967,2007
ACHE,acute sensitivity to anti-acetylcholinesterases,10814709,2000
UGT2B7,acyl-mycophenolic acid-glucuronide,17429314,2007
DRD4,adaptability trait,11354829,2001
OPRM1,addiction to heroin,11933204,2002
CIITA,addisons disease,16849401,2006
HLA-DRB1,addisons disease,12392510,2002
HLA-DQB1,addisons disease,12072047,2002
MICA,addisons disease,12392510,2002
CYP2D6,addisons disease,10197076,1998
VDR,addisons disease,12444895,2002
CTLA4,addisons disease,15240634,2004
FCRL3,addisons disease diabetes type 1 graves disease rheumatoid arthritis,17200162,2007
IFIH1,addisons disease graves disease,17535987,2007
FCGR3B,addisons disease graves disease lupus erythematosus polyangitis wegeners granulomatosis,17529978,2007
CYP1A1,adenocarcinoma of the lung,7834609,1995
OGG1,adenocarcinoma of the lung,12164330,2002
NQO1,adenocarcinoma of the upper gastrointestinal tract.,14506737,2003
HRAS,adenocarcinomas of the parotid gland,8168996,1994
APC,adenomatous polyposis,8608492,1996
APC,adenomatous polyposis coli,8162051,1994
COMT,adenomyosis endometriosis,16527884,2006
P2RY12,adenosine diphosphate-induced platelet aggregation,12912815,2003
DRD4,adhd,9491811,1998
MAOA,adhd,12140786,2002
DRD4,adhd,9118321,1996
THRB,adhd,8200958,1994
DRD4,adhd,11431226,2001
SNAP25,adhd,10889551,2000
DRD4,adhd,14702261,2004
SNAP25,adhd,12660803,2003
HTR2A,adhd,12475403,2002
HTR2A,adhd,12167522,2002
AR,adhd and conduct disorder,10380986,1999
LMNA,adipocyte size large subcutaneous abdominal,11243729,2001
ADIPOQ,adiponectin,16801592,2006
IRS1,adiponectin,15781195,2005
ADIPOQ,adiponectin,16443790,2006
ADIPOQ,adiponectin glucose insulin lipids,16607383,2006
ADIPOQ,adiponectin hypertension plasminogen activator inhibitor-1,16741355,2006
ADIPOQ,adiponectin insulin,16801926,2006
LPL,adipose tissue lipoprotein lipase activity and lipoprotein lipid and glucose concentrations,10830909,2000
LPL,adiposity and abdominal obesity,11571596,2001
NR3C1,adiposity and abdominal obesity,11571596,2001
ADRA2A,adiposity and abdominal obesity,11571596,2001
HSD17B6,adrogen body mass insulin polycystic ovary syndrome,17070195,2006
IL4R,adult atopic dermatitis,10809862,2000
CYP2E1,adult brain tumors,12540498,2003
PTH,adult height urinary pyridinoline excretion,11932319,2002
CYP19A1,adult male height,11549641,2001
RYR1,adult onset multi/minicore myopathy,14999498,2004
CDKN2A,adult t-cell leukemia,10378889,1999
RDS,adult vitelliform macular dystrophy,9338584,1997
LCT,adult-type hypolactasia,12692047,2003
CCND1,advanced colorectal cancer,14657069,2003
CYP11A1,advanced prostate cancer,15054879,2004
NDP,advanced retinopathy of prematurity,12145535,2002
SLC6A4,adverse neonatal outcomes birth weight neuromotor symptoms respiratory distress syndrome neonatal,17519929,2007
ACTN3,aerobic exercise capacity,17560787,2007
PPARGC1A,aerobic fitness insulin,17327385,2007
PPARD,aerobic fitness insulin,17327385,2007
ADH1C,aerodigestive tract cancers,14732773,2004
SLC6A4,affective disorder,10333377,1999
DRD3,affective disorder,10697826,1999
PLA2G2A,affective disorder,14639048,2003
ACE,affective disorder,8931914,1996
SLC6A4,affective disorder,14593433,2003
NCAM1,affective disorder,15050861,2004
BDNF,affective psychoses,14673216,2003
CYP3A5,aflatoxin-albumin,15454734,2004
GSTM1,aflatoxin-related hepatocarcinogenesis,11470760,2001
HLA-A,age,7297796,1981
GP1BA,age at first coronary bypass operation,14639140,2003
ESR1,age of menarche,11925413,2002
LEP,age of menarche,11461187,2001
APOC1,age-associated memory impairment,11714102,2001
ACE,age-associated memory impairment,10963892,2000
ERCC6,age-related macular degeneration,16754848,2006
KL,age-related skeletal disorders,12110410,2002
KL,age-related skeletal disorders,12110410,2002
IL6,ageing,15050298,2004
SLC12A6,agenesis of the corpus callosum,12368912,2002
SLC6A4,aggression,16741214,2006
MAOA,aggression impulsivity and central nervous system serotonergic responsivity,10904119,2000
SLC6A4,aggressive behavior,16412987,2006
TPH1,aggressive behavior,15727508,2005
HTR1B,aggressive behavior,15318027,2004
TP53,aggressive behavior of chondrosarcoma,9840532,1998
COMT,aggressive personality traits,12842306,2003
IL10,aging,16424284,2005
KL,aging,11792841,2002
AKAP10,aging,12646697,2003
UGT1A1,agranulocytosis,15007088,2004
NQO2,agranulocytosis,14617031,2003
HLA-B,aids,14501803,2003
KCNS3,airway hyperresponsiveness,15714333,2005
JAG1,alagille syndrome,12427653,2002
CASR,albumin bone density calcium fractures vertebral hyperparathyroidism kidney stone disease,17018660,2006
AGT,albuminuria,9540028,1998
NPPA,albuminuria,12687344,2003
TP53,albuminuria among aboriginal australians,11856771,2002
ADD1,albuminuria hypertension,16612256,2006
ACE,albuminuria hypertension,16612256,2006
SERPINE1,albuminuria retinopathy diabetic,16416371,2005
ADH1B,alcohol abuse,12452180,2002
SNCA,alcohol abuse,17374032,2007
DRD1,alcohol abuse,12966314,2003
MAOA,alcohol abuse,17298646,2007
ALDH2,alcohol abuse,12766630,2003
TAS2R16,alcohol abuse,17250611,2007
ALDH2,alcohol abuse,15679538,2005
TAS2R38,alcohol abuse,17250611,2007
IL8,alcohol abuse,15902922,2004
OPRK1,alcohol abuse,16924269,2006
ALDH2,alcohol abuse,12824748,2003
CRHR1,alcohol abuse,16550213,2006
DRD2,alcohol abuse,15845322,2005
CRHR1,alcohol abuse,17597588,2007
DRD4,alcohol abuse,11950104,2002
PDYN,alcohol abuse,16924269,2006
GABRA1,alcohol abuse,12232773,2002
TPH1,alcohol abuse,15654285,2005
ADH4,alcohol abuse,15863808,2005
OPRM1,alcohol abuse,15525999,2004
ADH1C,alcohol abuse,15370874,2004
ADH1C,alcohol abuse,17134660,2006
GABRA6,alcohol abuse,12232773,2002
ALDH2,alcohol abuse,16702384,2006
NQO2,alcohol abuse,12960511,2003
OPRM1,alcohol abuse,12813472,2003
NPY,alcohol abuse,15897713,2005
TNF,alcohol abuse,15902922,2004
ADH1B,alcohol abuse cirrhosis alcoholic pancreatitis chronic,17454860,2007
ADH1C,alcohol abuse cirrhosis alcoholic pancreatitis chronic,17454860,2007
ALDH2,alcohol abuse cirrhosis alcoholic pancreatitis chronic,17454860,2007
CNR1,alcohol abuse drug dependence,17509535,2007
SLC6A4,alcohol abuse substance abuse,16920076,2006
OPRM1,alcohol craving,17207095,2007
NPY,alcohol dependence,12215082,2002
GABRA1,alcohol dependence,16792556,2006
NPY,alcohol dependence,12215082,2002
GABRA2,alcohol dependence,16562401,2006
HTR2A,alcohol dependence,10089015,1999
ZNF699,alcohol dependence,16940975,2006
GABRA6,alcohol dependence,10578235,1999
HTR1B,alcohol dependence,11956970,2002
HTR1B,alcohol dependence,12022963,2002
HTR1B,alcohol dependence,11956970,2002
HTR1B,alcohol dependence,12022963,2002
GABRB1,alcohol dependence,10490712,1999
GABRA2,alcohol dependence,15024690,2004
GABRG2,alcohol dependence,12232773,2002
CCKAR,alcohol dependence,14691070,2004
DRD2,alcohol dependence,12376935,2002
CNR1,alcohol dependence,11841893,2002
OPRM1,alcohol dependence drug dependence,16476706,2006
OPRM1,alcohol dependency,10490697,1999
ADH1C,alcohol dependency,12884000,2003
GABRA2,alcohol effects,15702134,2005
SLC6A4,alcohol intake,16497275,2006
ALDH2,alcohol liver disease,3189338,1988
SLC6A4,alcohol use,15729746,2005
NPY,alcohol withdrawal,12454738,2002
GABRA1,alcohol withdrawal alcoholism,16778401,2006
SLC6A3,alcohol withdrawl seizure and delirium tremens,12513948,2003
GABRB2,alcohol-dependence,10578235,1999
GABRG2,alcohol-dependence,10578235,1999
GABRG2,alcohol-dependence,10578235,1999
CHRNA4,alcohol-related phenotypes nicotine,17226798,2007
CHRNB2,alcohol-related phenotypes nicotine,17226798,2007
TH,alcohol-withdrawal delirium,9564682,1998
CD14,alcoholic liver disease,11343243,2001
MAOA,alcoholism,15900229,2005
DRD2,alcoholism,1969501,1990
NPY,alcoholism,11696660,2001
CCKAR,alcoholism,14691070,2004
TH,alcoholism,15722952,2005
DRD2,alcoholism,15296817,2004
SLC6A4,alcoholism,10443997,1999
CYP2E1,alcoholism,11259352,2001
TPH1,alcoholism,16257348,2005
ADH1B,alcoholism,9500299,1998
OPRM1,alcoholism,9756053,1998
FYN,alcoholism,14675807,2003
SLC6A4,alcoholism,15804387,2005
GRIN1,alcoholism,14573320,2003
MAOA,alcoholism,12824808,2003
HTR1B,alcoholism,14714219,2004
MAOA,alcoholism,10359483,1999
ALDH2,alcoholism,11600186,2001
MAOA,alcoholism,8135303,1993
GABRA2,alcoholism,15274050,2004
NPY,alcoholism,11410744,2001
GABRA2,alcoholism,15834213,2005
COMT,alcoholism,10395222,1999
HTR1B,alcoholism,14714219,2004
BDNF,alcoholism,15547445,2004
ADH1B,alcoholism,15318112,2004
SLC6A4,alcoholism,15048635,2004
CNR1,alcoholism,11841893,2002
COMT,alcoholism,10698363,2000
DRD2,alcoholism,8095394,1993
SLC6A4,alcoholism,15635638,2005
DRD4,alcoholism,8929946,1996
OPRS1,alcoholism,14706429,2004
DRD2,alcoholism,15066703,2004
NPY,alcoholism,11410744,2001
DRD2,alcoholism,9264134,1997
OPRM1,alcoholism,16679777,2006
ALDH2,alcoholism,11781503,2001
SLC6A4,alcoholism,16691130,2006
DRD2,alcoholism,2069496,1991
DRD1,alcoholism,17466946,2007
ALDH2,alcoholism,8659684,1996
GALR3,alcoholism,17083333,2006
ALDH2,alcoholism,11410735,2001
DRD2,alcoholism,7980596,1994
DRD2,alcoholism,10881204,2000
DRD2,alcoholism,1839129,1991
ADH1B,alcoholism,11259352,2001
DRD4,alcoholism,11244477,2001
IL1RN,alcoholism,11045853,2000
DRD2,alcoholism,8094979,1993
HNMT,alcoholism,15770103,2005
ACE,alcoholism,12204015,2002
ARSA,alcoholism,11857580,2002
DRD2,alcoholism,11373265,2001
DRD2,alcoholism,11236830,2001
MAOA,alcoholism personality disorders,17592478,2007
GRIN2B,alcoholism-related traits,14573320,2003
GRIN1,alcoholism-related traits,14573320,2003
CYP11B1,aldosterone,16984984,2006
CYP11B2,aldosterone angiotensin ii hypertension,16796847,2006
ABCB1,aldosterone blood pressure arterial kidney function left ventricular function,17301693,2007
CYP11B2,aldosterone hypertension,17296872,2007
NPPA,aldosterone responsiveness to angiotensin,7980610,1994
REN,aldosterone responsiveness to the renin-angiotensin system,7902711,1993
REN,aldosterone responsiveness to the renin-angiotensin system,7915644,1994
IL4R,allele frequency/ normal,11491529,2001
IL4R,allergic asthma,15479272,2004
CFTR,allergic bronchopulmonary aspergillosis abpa,11243954,2001
LTC4S,allergic disease,16211251,2005
IFNGR1,allergic disease,12851715,2003
STAT6,allergic diseases,12759487,2003
FCER1A,allergic diseases,12902495,2003
STAT6,allergic diseases,11678849,2001
STAT6,allergic diseases (bronchial asthma. atopic dermatitis and/or food-related anaphylaxis),11678849,2001
IL4R,allergic reaction betalactam,17001290,2006
IL13,allergic reaction betalactam,17001290,2006
TGFB1,allergic rhinitis,15120189,2004
LTC4S,allergic rhinitis,16730545,2006
TNF,allergic rhinitis,15120189,2004
IL13,allergic rhinitis,17091279,2006
IL18,allergic rhinitis,12532106,2003
IL13,allergic rhinitis,12928861,2003
IFNG,allergic rhinitis,15120189,2004
ADAM33,allergic rhinitis,15298558,2004
CCL5,allergic rhinitis,15064621,2004
HLA-DQA1,allergic rhinitis,14990915,2004
HLA-DQB1,allergic rhinitis,14990915,2004
FCGR2A,allergic rhinitis asthma,17291475,2007
FADS2,allergic rhinitis dermatitis and eczema fatty acid,16670158,2006
FADS1,allergic rhinitis dermatitis and eczema fatty acid,16670158,2006
MS4A1,allergies,11702205,2001
IL7R,allergy,17504502,2007
HLA-DRB1,allergy,15853900,2005
HLA-DQA1,allergy,15853900,2005
HLA-DQB1,allergy,15853900,2005
NOS3,allergy asthma,16837812,2006
CD14,allergy dermatitis and eczema,16614348,2006
IL10,allograft dysfunction renal,12133353,2002
TNF,allograft dysfunction renal,12133353,2002
IL10,allograft outcome,11404167,2001
TNF,allograft outcome,11404167,2001
IL10,allograft outcome,11391238,2001
TGFB1,allograft outcome,11391238,2001
IFNG,allograft outcome,11391238,2001
PTPN22,alopecia areata,16829308,2006
IL1RN,alopecia areata,8077705,1994
MIF,alopecia areata,15815686,2005
HLA-A,alopecia areata,16185849,2005
serpin,alpha 1-antitrypsin deficiency,7912884,1994
HLA-DRB1,alpha 1-antitrypsin deficiency,1975247,1990
SERPINA1,alpha 1-antitrypsin deficiency,1967187,1990
SERPINA1,alpha 1-antitrypsin indicate a single origin for deficiency allele pi z,2989709,1985
Hb,alpha thalassemia and hb s,3452204,1987
A2M,alpha-2-macroglobulin concentration obesity,16910174,2006
AFP,alpha-fetoprotein,17433605,2007
TP53,alpha-particle carcinogenesis,10564952,1999
SERPINA1,alphal-antitrypsin deficiency,12879958,2003
CYP3A5,alprazolam pharmacokinetics,16765147,2006
PRPH,als/amyotrophic lateral sclerosis,15322088,2004
SMN1,als/amyotrophic lateral sclerosis,16931506,2006
SOD1,als/amyotrophic lateral sclerosis,12710511,2002
PON1,als/amyotrophic lateral sclerosis,16822965,2006
MT-ND5,als/amyotrophic lateral sclerosis,14639589,2003
PON1,als/amyotrophic lateral sclerosis,17204329,2006
VEGFA,als/amyotrophic lateral sclerosis,17538775,2007
MT2A,als/amyotrophic lateral sclerosis,16546755,2006
OGG1,als/amyotrophic lateral sclerosis,17531381,2007
MT3,als/amyotrophic lateral sclerosis,16546755,2006
VEGFA,als/amyotrophic lateral sclerosis,16801663,2006
PON2,als/amyotrophic lateral sclerosis,16822964,2006
PON2,als/amyotrophic lateral sclerosis,16822965,2006
PON3,als/amyotrophic lateral sclerosis,16822964,2006
MTRR,altered b vitamin/thiol metabolism,12091127,2002
APOE,altered brain levels of apolipoprotein e,12232782,2002
Cdc25A,altered cell-cycle,12411323,2002
ABCB1,altered efflux of the p-glycoprotein substrate rhodamine,11434506,2001
APOB,altered lipid levels,2872432,1986
PPARGC1A,altered lipid oxidation and early insulin secretion,12606537,2003
SLCO1B1,altered oatp-c transport activity,11477075,2001
BDKRB2,altered urinary albumin/creatinine values,12025967,2002
HLA-DRB1,alveolar echinococcosis,11798795,2000
Sept3,alzheimers disease,15200238,2004
PRNP,alzheimers disease,15258222,2004
GSK3B,alzheimers disease,16428884,2006
MAPT,alzheimers disease,15106853,2004
IDE,alzheimers disease,16876916,2006
OLR1,alzheimers disease,12384789,2002
IL1A,alzheimers disease,16733901,2006
PRNP,alzheimers disease,16099550,2005
CTSD,alzheimers disease,16784755,2006
PSEN1,alzheimers disease,11389157,2001
DAPK1,alzheimers disease,16847012,2006
PSEN1,alzheimers disease,12885573,2003
PTGS2,alzheimers disease,17234302,2007
APOE,alzheimers disease,17280645,2007
USF2,alzheimers disease,16870626,2006
OLR1,alzheimers disease,15860461,2005
CHAT,alzheimers disease,16480703,2006
OLR1,alzheimers disease,12807963,2003
CTSD,alzheimers disease,16543533,2006
VLDLR,alzheimers disease,10206233,1999
DNMBP,alzheimers disease,16740596,2006
APOE,alzheimers disease,17466415,2007
CTNNA3,alzheimers disease,17209133,2007
GAPDH,alzheimers disease,15507493,2004
IL1A,alzheimers disease,17290104,2007
GAPDH,alzheimers disease,15507493,2004
NOTCH4,alzheimers disease,17452726,2007
APOE,alzheimers disease,16725228,2006
USF1,alzheimers disease,16870626,2006
OLR1,alzheimers disease,12807963,2003
IREB2,alzheimers disease,16914832,2006
VLDLR,alzheimers disease,7550352,1995
NOS3,alzheimers disease,16813604,2006
HLA-A,alzheimers disease,9270587,1997
SORL1,alzheimers disease,17420311,2007
UBQLN1,alzheimers disease,16302009,2005
SOD2,alzheimers disease,17376152,2007
HLA-A,alzheimers disease,11914421,2002
UBQLN1,alzheimers disease,16725228,2006
MTHFR,alzheimers disease,15073531,2004
PLAU,alzheimers disease,16825285,2006
POU2F1,alzheimers disease,15786443,2005
TFCP2,alzheimers disease,16272261,2005
HLA-DRB1,alzheimers disease,10568518,1999
PON1,alzheimers disease,16780669,2006
APH1B,alzheimers disease,17466415,2007
PSEN1,alzheimers disease,16938285,2006
TFAM,alzheimers disease,15464268,2004
CYP46A1,alzheimers disease,16734927,2006
MTR,alzheimers disease,15201366,2004
PLAU,alzheimers disease,16967469,2006
TF,alzheimers disease,14757931,2003
PON1,alzheimers disease,16863614,2006
NTF3,alzheimers disease,9502217,1998
NOS1,alzheimers disease,17418914,2007
SERPINA3,alzheimers disease,11715411,1999
CST3,alzheimers disease,17310123,2007
PSEN1,alzheimers disease,11524469,2001
IL18,alzheimers disease,17299019,2007
PIN1,alzheimers disease,16384626,2005
PSENEN,alzheimers disease,17280645,2007
CYP2D6,alzheimers disease,9633694,1998
UCHL1,alzheimers disease,16626667,2006
PLAU,alzheimers disease,15615772,2004
PARP1,alzheimers disease,17290104,2007
SERPINA3,alzheimers disease,9003488,1997
CYP46A1,alzheimers disease,16960449,2006
PSEN1,alzheimers disease,15476169,2004
F13A1,alzheimers disease,17288735,2006
MAOA,alzheimers disease,12098640,2002
APP,alzheimers disease,7686976,1993
NOS3,alzheimers disease,10514107,1999
FYN,alzheimers disease,15082191,2004
PSEN1,alzheimers disease,11110974,2000
APOE,alzheimers disease,9619639,1998
PSEN1,alzheimers disease,10549825,1999
A2M,alzheimers disease,9811940,1998
PSEN1,alzheimers disease,10768621,2000
APOC1,alzheimers disease,14705977,2004
PON2,alzheimers disease,14741412,2004
APOE,alzheimers disease,16223550,2005
MAPT,alzheimers disease,10643798,2000
APOE,alzheimers disease,11769724,2001
WT1,alzheimers disease,12914969,2003
ESR1,alzheimers disease,11774719,2001
PSEN1,alzheimers disease,11775232,2000
DLD,alzheimers disease,15389771,2004
TFCP2,alzheimers disease,11283204,2001
APOE,alzheimers disease,15337270,2004
PON2,alzheimers disease,14741412,2004
APOE,alzheimers disease,14757931,2003
PSEN1,alzheimers disease,12413003,2002
APOE,alzheimers disease,11204323,2000
PSEN1,alzheimers disease,8930979,1996
DLST,alzheimers disease,11825528,2001
PNMT,alzheimers disease,11378842,2001
ACE,alzheimers disease,11078932,2000
LPL,alzheimers disease,10936883,2000
ACE,alzheimers disease,11803189,2002
PPARA,alzheimers disease,12938026,2003
APOE,alzheimers disease,11173882,2001
MAPK8IP1,alzheimers disease,12740599,2003
APOE,alzheimers disease,10213175,1999
LTA,alzheimers disease,12116197,2002
DLST,alzheimers disease,10227647,1999
BDNF,alzheimers disease,12192623,2002
A2M,alzheimers disease,10668709,2000
BDNF,alzheimers disease,11244490,2001
ESR1,alzheimers disease,10558867,1999
TNF,alzheimers disease,11121190,2000
IL1A,alzheimers disease,10716257,2000
PSEN2,alzheimers disease,12770698,2003
BACE1,alzheimers disease,12535780,2003
PSEN2,alzheimers disease,12925374,2003
ACE,alzheimers disease,10681079,2000
PSEN1,alzheimers disease,9172170,1997
BACE1,alzheimers disease,11684351,2001
BDNF,alzheimers disease,15896483,2005
APOE,alzheimers disease,14759632,2004
STH,alzheimers disease,15136700,2004
APOE,alzheimers disease,12962909,2003
